method,track_id,lane,eid,time_ms,dev,true_vid,residual_ms,innovation_var,reliability
global,302,1,6295,294667,63,175.0,110.80674783786526,33864.320062723345,0.90249448839759
global,302,1,6296,295401,64,175.0,265.1644243707997,34215.74579525901,0.8680794997747826
global,302,1,6297,296051,65,175.0,349.4149504036177,33861.96693519588,0.9027341287211844
global,302,1,6298,296881,66,175.0,169.5903933904483,33861.96693519588,0.9027341287211844
global,302,1,6299,297669,67,175.0,211.71324013569392,33754.546287255944,0.91381092034954
global,302,1,6300,298358,68,175.0,310.799250824959,33878.58915662884,0.9010440576616975
global,302,1,6301,299142,69,175.0,215.85946711391443,34082.76446197012,0.8807891070495453
global,302,1,6302,299865,70,175.0,276.9016228321707,34082.76446197012,0.8807891070495453
global,302,1,6303,300630,71,175.0,234.93113395007094,34505.24603259192,0.8416404975283465
global,302,1,6304,301350,72,175.0,279.95179276907584,34235.8665770124,0.8661883466259237
